Sample	Directory	Scaffold	Origami	RRE
rPB66v1	LibFig_rPB66	23S	3895	3895
rPB66v2	23s_rPB66_v2	23S	3897	3897
rO66v1	LibFig_rOct66	23S	3898	3898
rO66v2	23s_rO66_v2	23S	3899	3899
23S		23S	3900	3900
rT66v1	LibFig_rT66	EGFP	3897	3884
rT66v2	EGFP_rTet66_v2	EGFP	3898	3885
rT66v2-10	EGFP_rTet66_v2	EGFP	3899	3886
EGFP		EGFP	3900	3887
rO44v1	rOct44	M13	3895	3888
rO44v2	rOct44_v2	M13	3887	3889
M13		M13	3900	3890
rT55	rT55_rsc_v2	rsc1218v1n660	3895	3891
rsc1218v1n660		rsc1218v1n660	3898	3892
rT77	rT77_rsc_v2	rsc1218v1n924	3899	3893
rsc1218v1n924		rsc1218v1n924	3900	3894
